"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"Mille Lacs","MN","Minneapolis, MN","27","095",1494,149900,149900,147500,144900,149900,155000,149900,149900,148900,145000,139900,134900,129900,119950,129900,132500,129900,134900,127000,130000,126000,119900,109900,112450,114900,109900,124450,129900,125000,128950,123800,119900,124350,127450,127450,119900,129900,119900,129900,139900,149450,159900,142200,154450,149900,149900,149754,139250,146547.5,145000,140900,145900,149827,150000,153450,149950,152000,149900,149950,149900,147250.5,139900,155000,154450,159900,164900,164900,164900,165250,165000,169900,169900,169500,169900,174900,180000,184900,179950,179450,171450,169900,169900,171900,179000,179450,194900,179900,191950,189500,189000,189000,189000,191900,189900,179900,177400,179900,184900,189900,199900,207500,209900,224900,209900
"Benton","IA","Cedar Rapids, IA","19","011",1495,119900,119900,129950,145500,139900,129900,129000,129000,124750,115000,126500,119900,117500,118700,126500,126500,124750,129400,126900,129000,129900,132000,129900,124950,111000,117900,115900,119900,121200,113900,116000,118500,120000,123500,124900,119450,119450,124900,119000,125000,126250,119500,117700,123700,120000,119900,119900,120975,122500,119900,118700,124900,124900,129000,124500,125000,127000,123900,129500,128700,127200,124500,125000,124500,124975,119950,124500,120000,118000,114950,111250,112450,115000,124638.5,124950,127500,125000,129225,134450,132000,131500,129500,129500,127500,125200,124975,128450,127500,127900,127499.5,139450,133950,142000,137400,129900,143700,147750,149925,150000,149925,159900,148900,145000,149900
"McNairy","TN",,"47","109",1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,116950,112000,105000,107500,116950,116950,119900,119900,119900,124900,114900,114600,118000,119900,119900,119250,119900,129000,117200,110000,99900,99900,116500,119900,124900,121750,125500,128250,126250,125000,119900,119900,118000,119900,114400,109900,109900,119900,119900,112450,112950,99900,96900,99900,99999,99900,109000,100829,95900,96400,109450,109900,104500,120000,118000,119900,119900
"Hardin","TN",,"47","071",1497,139900,139900,144500,142250,139900,142500,149500,148500,144750,140000,139900,139500,139000,149500,154900,149900,149950,152500,149900,149250,149500,149000,149500,149000,155000,159900,169900,157250,159500,159250,154450,154950,149500,145450,149000,149000,149500,154450,154000,157750,154250,159000,159900,159000,159000,159000,159900,159000,159900,144200,149000,159900,157500,162500,157000,152500,149500,152750,149999,169000,164950,169500,169500,179500,164900,165000,156250,164900,166700,171450,174700,175000,179000,178000,175000,179250,185000,189900,189900,194900,187000,184950,184500,184000,184500,199000,199000,204900,199900,199900,199900,195000,193500,182500,189900,199000,194999,189900,189000,195000,199000,205450,215000,199900
"Texas","MO",,"29","215",1498,119950,119900,115900,115900,124900,119900,119900,115000,113950,110000,107000,107000,109900,107450,105000,109900,114950,115000,115000,114500,115000,124700,125000,125000,124950,129900,129900,126900,125000,119900,119900,119500,119900,124900,119900,120000,124300,129900,129900,129000,125000,125000,125000,129900,124900,124300,124400,123200,120000,120000,118000,118500,124900,119900,119800,119700,119700,121900,124300,119900,122400,122900,117450,119900,123650,129450,124900,123000,125000,129900,130950,129900,125000,124900,127000,127950,124400,127900,125000,125000,119900,119900,119950,119900,119900,119900,118900,128750,129000,128803,129900,129900,129900,129900,129900,129900,129900,127900,126000,128500,132000,132000,135000,139900
"Franklin","KS","Ottawa, KS","20","059",1499,137000,136750,139900,135000,129450,125000,120000,125500,125000,126000,125500,112000,115000,113750,115250,119000,125000,119500,127500,119900,114450,129000,129500,119950,127997.5,124750,125000,126000,126000,135000,127497.5,115000,115000,107000,95000,99950,99950,1e+05,99500,115000,125000,117250,117550,119500,114974.5,111250,109900,1e+05,114925,125000,124900,121750,125000,123400,122900,109975,120000,115000,118500,114925,112500,118450,115000,119900,124545,114800,121750,112250,112000,113999,113450,113000,121250,124750,135000,139900,139900,139925,127475,129900,127000,125450,129999,129900,125450,120000,125900,137950,127500,135000,149900,145000,147900,149700,148500,144500,147000,149000,165000,164900,164900,175000,164900,164900
"Cherokee","AL",,"01","019",1500,239500,225000,217000,187500,181250,181250,182500,182900,179900,180000,182900,185000,186850,182900,181450,195900,175000,168250,189000,189000,185300,180000,180000,169000,165000,175000,179000,185100,174900,174900,169900,180965,181930,185000,187000,175000,175000,179900,179500,193830,192915,190950,192000,193830,198000,172000,195000,195000,182000,187450,206750,199900,199900,199250,205900,205000,202400,2e+05,199900,195500,195900,199900,2e+05,199900,202500,199900,198500,194950,199000,195000,186000,174450,174450,179450,183000,191950,199000,196750,199500,195950,199000,198500,194750,189900,189900,189950,189900,190000,195000,197350,199450,199000,197950,199900,199900,199900,199900,2e+05,199450,199900,199900,199900,199900,197500
"Cleburne","AR",,"05","023",1501,199000,199000,210000,199000,199450,199000,199000,199900,198000,189900,189950,184900,184000,184500,185000,194500,195000,195000,199900,195000,189900,189900,189900,184062.5,179900,189950,189500,192000,192880,192000,192880,189900,198000,199900,199000,198000,189900,196000,197800,209000,215000,215000,213750,215000,199900,189900,187500,187500,189000,184200,178066,179000,184900,187250,189000,186750,189700,196750,198000,189700,189900,198250,195000,202500,199900,205000,201500,205000,207000,201475,219900,214900,199900,204500,219000,217000,210000,199000,199700,199900,199900,199450,199900,195000,189900,189900,190950,199800,197000,217000,210000,204900,210000,209500,204900,199900,199250,199900,202900,214900,218900,215000,210000,214700
"Charlevoix","MI",,"26","029",1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239700,249000,249000,249900,249000,239750,249900,258250,249900,249900,249900,249900,259900,259900,264950,269500,264900,274500,279000,289900,275000,275000,279000,299000,282450,289000,282000
"Posey","IN","Evansville, IN","18","129",1503,134950,134900,129900,129900,135000,129400,124900,119500,125400,125900,137000,136000,139900,138000,139900,139900,134950,135000,134900,129900,124900,124662.5,119000,114900,104950,106819,99900,109900,106450,99250,104900,109900,110000,105000,120000,117000,109900,105000,119900,119675,112400,119500,118675,115700,127990,115200,114900,111450,118450,122900,120000,120000,127450,119900,120000,129500,129950,129949.5,129900,125000,123750,123750,129900,123900,123750,123200,124900,132900,147000,132400,124900,117700,110000,124900,125900,126999.5,127500,129900,129950,137400,132835,134900,135000,139000,138750,129250,123950,129900,150000,160450,151950,134900,138000,130000,138250,119900,115900,119450,119900,126200,130950,149000,144850,134950
"Brown","MN","New Ulm, MN","27","015",1504,104900,111700,114900,120000,119900,119900,124900,119900,119700,119900,113450,109900,107000,102500,104900,99900,102500,105400,109900,109900,118900,107800,106400,105900,104900,103700,107400,109900,104400,108700,104900,99900,106900,105900,109900,109900,109700,112250,99500,109900,117000,114900,105900,105900,107000,99900,99900,99900,99900,1e+05,102000,107700,109900,108800,108850,105900,103900,109900,109900,106750,105450,107000,101450,109200,109950,113900,114500,113750,105000,114500,118000,114500,98900,104950,105450,105400,109900,119900,122900,119450,120000,121700,119900,119900,114900,117000,114900,119900,123400,119900,125000,124900,128450,130900,128200,128400,129900,129200,134838.5,129900,129200,128500,126700,128250
"Iosco","MI",,"26","069",1505,121950,118950,114000,113250,109000,111200,114900,111200,115000,109900,109000,99900,99900,90000,99900,101450,101900,110000,110000,109500,99900,99900,99900,93000,96750,89900,89900,89900,99000,99900,103000,99900,95000,95250,92500,89900,89900,89000,91250,93250,95000,102000,99900,98950,101000,97900,93000,92700,89900,97900,92000,99900,1e+05,99999,105000,109000,99900,99900,96450,98500,94500,94500,94900,93900,99500,99900,1e+05,105000,109000,99900,99900,99000,99500,99900,103500,105000,114900,115000,110000,109900,110000,109900,109900,99900,99900,99900,99900,104900,99900,99900,99900,109900,102450,99900,99900,94200,94500,94200,94500,99000,99250,99900,99900,99900
"Lyon","MN","Marshall, MN","27","083",1506,163750,159900,147500,152500,156000,149900,159950,165000,164950,159900,159750,165000,163500,143750,145000,147250,149900,135000,134900,134900,128900,124900,124950,125900,125000,128950,129900,125000,129400,120000,123900,130000,128900,125000,120000,119900,117500,109900,117500,118900,119200,114950,115000,114900,114500,114500,107450,109950,114900,117000,124950,129950,128250,128250,129900,118750,118500,114900,109900,115000,115000,118250,128500,124950,134500,136000,134900,129000,122500,119750,119900,118500,114900,109900,109900,110000,117950,132000,129450,123250,121000,129900,127750,139900,139900,139000,134000,135000,139900,139900,149900,149800,144750,139000,137500,132416.5,125000,120000,140000,149900,155500,154750,145000,136450
"White","TN",,"47","185",1507,149000,143500,139400,145000,142900,144900,144900,139900,139900,143900,143900,138900,138900,134990,134900,134900,134900,129900,137450,136400,139900,129900,136400,139900,139900,139900,134900,132900,134900,134900,132900,134900,134900,134900,139950,134900,134900,135000,139900,139900,134914.5,139900,141466.5,144900,139900,144900,144900,144900,138250,134900,134700,134700,137250,135000,129900,125000,131000,132250,129900,129900,129900,139900,139000,139000,143500,143700,139250,149900,151900,139900,131900,139500,133410,141400,142929,149900,149900,149900,156950,142414.5,139914.5,139929,134900,139900,139900,139900,140000,139900,134900,137929,136000,139900,138500,134900,134900,133900,131894,134900,132900,139000,144929,144950,157700,159900
"Clarke","AL",,"01","025",1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,154900,135000,139000,139500,140000,144500,154000,159000,159900,172000,179900,169500,164475,162900,164475,164475,149900,164500,169000,169250,170000,174950,185000,181950,184950,162900,155000,159000,159900,149000,142000,139500,139000,139000,139000,150000,159000
"Grayson","KY",,"21","085",1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000,129949.5,129900,137500,130999.5,124900,128511.5,134900,135000,142500,139500,142500,146000,148000,148400,149900,149950,139900,137500,146700,149400,148900,149450,148900,139900,134950,129900,129450,129900,129900,139900,143950,132450,134900,149900,155000,140000,138700,131499.5,144900,139900,139900,144500,150000,144000,144900,147500,147500,149999.5,144900,139900,142450,139950,144900,142400,145000,139700
"Decatur","IN","Greensburg, IN","18","031",1510,129900,127450,127450,129900,129900,129900,129900,129900,129500,129500,123900,115250,119000,119450,119900,119900,119000,119450,119900,119900,126500,125700,121950,119900,119000,124950,118750,112250,114400,119000,118750,119000,117000,119000,119900,115000,123700,118000,119000,119000,116900,129600,117900,109900,109000,108900,99700,94900,97500,99900,109900,107400,119900,122900,119450,115000,109900,105000,100900,99500,99500,110000,115200,120000,123900,124900,124400,129900,139900,136500,134500,125000,122000,122000,125000,137450,149900,139950,135000,138750,139900,134200,133200,139700,143400,149450,149900,139900,138000,139500,139700,138900,137000,134900,133400,129450,129000,129900,125000,131850,139900,139900,139900,139900
"Gladwin","MI",,"26","051",1511,133500,132000,132450,133500,129900,129900,132450,134000,129900,128700,124900,119999.5,118900,118900,114900,122700,119000,124900,122000,124500,120000,115000,110000,99900,104700,99900,99900,99900,109000,109900,109900,109900,109900,105000,108350,105000,109900,106450,105000,104900,109900,110500,111500,110000,109950,105900,104800,99900,99900,99900,104900,114900,117900,119700,119512,119000,117900,115000,110000,114650,109900,114063,114950,115000,118900,116950,119900,119900,115000,114900,108568.5,1e+05,106500,105450,106500,114950,119900,119900,119900,119000,119500,119900,118900,119000,119900,119900,119609,124900,125900,124900,124900,123000,123950,124923,125500,119900,119900,119900,125500,129900,128450,127700,129900,129900
"Fluvanna","VA","Charlottesville, VA","51","065",1512,245250,238350,235900,235900,234700,234900,234700,229500,230750,234900,234950,229900,234950,235450,235000,234950,234700,234900,234900,234900,229000,229000,229000,228950,223650,225000,224900,209900,210000,210000,209900,201755,199000,196045,197090,191000,199700,200455,216000,219825,220000,219250,221500,220000,221360,220675,222500,219900,224750,226200,232345,229500,227130,228950,230190,230000,228950,225000,228000,222303,219995,225500,232945,230190,234950,234500,239000,237200,229055,229055,227000,233555,224500,224900,233555,235000,239900,238527.5,239000,238777.5,241288,239900,238950,239450,237750,239900,231950,239900,244000,249000,245000,239900,239900,239900,242487.5,249900,248900,244750,238915,239900,245000,244900,239900,249900
